identification,name,status,type,ranking,address,city,state,date,critical
00500D38A7B20EF985257D77007137C6,Bowl'd(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,1028,Arlington,VA,3/29/2017 12:00:00 AM,Core
00500D38A7B20EF985257D77007137C6,Bowl'd(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,1028,Arlington,VA,4/4/2016 12:00:00 AM,Core
00500D38A7B20EF985257D77007137C6,Bowl'd(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,1028,Arlington,VA,12/1/2016 12:00:00 AM,Priority
00754EF78961359F8525789D0052B055,Super Giant Bakery #0774,Permitted,Grocery Store Food Service,Risk Category 1,2515,Arlington,VA,4/18/2018 12:00:00 AM,Core
00754EF78961359F8525789D0052B055,Super Giant Bakery #0774,Permitted,Grocery Store Food Service,Risk Category 1,2515,Arlington,VA,4/18/2018 12:00:00 AM,Priority Foundation
00754EF78961359F8525789D0052B055,Super Giant Bakery #0774,Permitted,Grocery Store Food Service,Risk Category 1,2515,Arlington,VA,4/18/2018 12:00:00 AM,Priority
00CE3B06432FA68A8825727B0071816B,Pizza Hut #23620,Permitted,Carry Out Food Service Only,Risk Category 2,3311,Arlington,VA,5/17/2016 12:00:00 AM,Core
00CE3B06432FA68A8825727B0071816B,Pizza Hut #23620,Permitted,Carry Out Food Service Only,Risk Category 2,3311,Arlington,VA,5/2/2017 12:00:00 AM,Priority Foundation
00CE3B06432FA68A8825727B0071816B,Pizza Hut #23620,Permitted,Carry Out Food Service Only,Risk Category 2,3311,Arlington,VA,5/2/2017 12:00:00 AM,Core
0223BC07A769EEA185257949006585BE,Trader Joe's,Permitted,Grocery Store Food Service,Risk Category 1,1109,Arlington,VA,1/26/2018 12:00:00 AM,Core
0223BC07A769EEA185257949006585BE,Trader Joe's,Permitted,Grocery Store Food Service,Risk Category 1,1109,Arlington,VA,12/18/2018 12:00:00 AM,Priority
0223BC07A769EEA185257949006585BE,Trader Joe's,Permitted,Grocery Store Food Service,Risk Category 1,1109,Arlington,VA,2/4/2016 12:00:00 AM,Priority Foundation
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,2/10/2016 12:00:00 AM,Priority
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,2/10/2016 12:00:00 AM,Core
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,2/10/2016 12:00:00 AM,Priority Foundation
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,10/4/2016 12:00:00 AM,Priority Foundation
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,6/6/2016 12:00:00 AM,Priority
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,6/6/2016 12:00:00 AM,Priority Foundation
02F8FEFE5E248ABD85257E9100630401,City Kabob Curry House(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,3205,Arlington,VA,6/6/2016 12:00:00 AM,Core
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,10/15/2018 12:00:00 AM,Priority
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,2/16/2018 12:00:00 AM,Priority
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,2/16/2018 12:00:00 AM,Core
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,7/24/2017 12:00:00 AM,Priority
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,7/24/2017 12:00:00 AM,Priority Foundation
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,6/20/2016 12:00:00 AM,Priority
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,6/20/2016 12:00:00 AM,Priority Foundation
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,2/17/2016 12:00:00 AM,Core
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,10/13/2017 12:00:00 AM,Priority Foundation
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,2/14/2017 12:00:00 AM,Core
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,2/14/2017 12:00:00 AM,Priority Foundation
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,10/6/2016 12:00:00 AM,Priority
032E4761D0C2797285256ECB0054233E,Urban Thai,Permitted,Full Service Restaurant,Risk Category 3,561,Arlington,VA,10/6/2016 12:00:00 AM,Priority Foundation
0338ECB19484D2CD852579730063D6C2,NSF Child Development Center(INACTIVE),Surrendered,Child Care Food Service,Risk Category 2,4201,Arlington,VA,5/6/2016 12:00:00 AM,Core
038354AA5527243F85257EC900556BEA,Cinnabon #100416,Permitted,Fast Food Restaurant,Risk Category 1,1100,Arlington,VA,8/8/2017 12:00:00 AM,Priority Foundation
038354AA5527243F85257EC900556BEA,Cinnabon #100416,Permitted,Fast Food Restaurant,Risk Category 1,1100,Arlington,VA,8/8/2017 12:00:00 AM,Priority
038354AA5527243F85257EC900556BEA,Cinnabon #100416,Permitted,Fast Food Restaurant,Risk Category 1,1100,Arlington,VA,7/9/2018 12:00:00 AM,Core
038354AA5527243F85257EC900556BEA,Cinnabon #100416,Permitted,Fast Food Restaurant,Risk Category 1,1100,Arlington,VA,7/9/2018 12:00:00 AM,Priority Foundation
038354AA5527243F85257EC900556BEA,Cinnabon #100416,Permitted,Fast Food Restaurant,Risk Category 1,1100,Arlington,VA,7/9/2018 12:00:00 AM,Priority
0396580C4336A21685257984004E2120,Dunkin' Donuts & Baskin Robbins(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 1,3100,Arlington,VA,2/1/2016 12:00:00 AM,Core
0396580C4336A21685257984004E2120,Dunkin' Donuts & Baskin Robbins(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 1,3100,Arlington,VA,2/1/2016 12:00:00 AM,Priority
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,1/27/2017 12:00:00 AM,Core
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,1/27/2017 12:00:00 AM,Priority Foundation
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,1/27/2016 12:00:00 AM,Core
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,5/4/2016 12:00:00 AM,Priority Foundation
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,9/7/2016 12:00:00 AM,Core
04156665C552628485257102006D8FF9,Jerry Subs & Pizza(INACTIVE),Surrendered,Fast Food Restaurant,Risk Category 3,2041,Arlington,VA,9/7/2016 12:00:00 AM,Priority Foundation
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,2/7/2017 12:00:00 AM,Priority Foundation
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,2/7/2017 12:00:00 AM,Core
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,3/7/2018 12:00:00 AM,Core
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,3/7/2018 12:00:00 AM,Priority Foundation
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,3/7/2016 12:00:00 AM,Core
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,3/7/2016 12:00:00 AM,Priority
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,3/7/2016 12:00:00 AM,Priority Foundation
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,2/5/2018 12:00:00 AM,Priority
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,2/5/2018 12:00:00 AM,Core
0428CB9AF12CD5DF85257CC3005907E3,Lucky Seven Food Mart,Permitted,Convenience Store Food Service,Risk Category 1,3215,Arlington,VA,2/5/2018 12:00:00 AM,Priority Foundation
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,7/14/2016 12:00:00 AM,Priority
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,7/26/2017 12:00:00 AM,Priority Foundation
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,7/26/2017 12:00:00 AM,Priority
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,11/27/2017 12:00:00 AM,Priority
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,11/27/2017 12:00:00 AM,Priority Foundation
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,11/7/2016 12:00:00 AM,Priority
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/1/2017 12:00:00 AM,Core
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/1/2017 12:00:00 AM,Priority Foundation
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/10/2016 12:00:00 AM,Priority
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/10/2016 12:00:00 AM,Core
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/10/2016 12:00:00 AM,Priority Foundation
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/22/2018 12:00:00 AM,Core
04C8F248089D5FE485257F550076CB5B,Palette 22,Permitted,Full Service Restaurant,Risk Category 3,4053,Arlington,VA,3/22/2018 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,5/19/2017 12:00:00 AM,Priority
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,5/19/2017 12:00:00 AM,Core
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/22/2017 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/22/2017 12:00:00 AM,Priority
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,1/30/2018 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,1/30/2018 12:00:00 AM,Core
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,1/30/2018 12:00:00 AM,Priority
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/19/2017 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/19/2017 12:00:00 AM,Priority
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/19/2017 12:00:00 AM,Core
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,10/23/2017 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/20/2018 12:00:00 AM,Priority
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/20/2018 12:00:00 AM,Priority Foundation
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,9/20/2018 12:00:00 AM,Core
04DF7D2B7D61F58C8525810C005C7A75,Pizza Pie Me,Permitted,Fast Food Restaurant,Risk Category 3,2249-E,Arlington,VA,5/24/2018 12:00:00 AM,Priority
054CCB031AC699F488257480005C2FF2,Williamsburg Deli,Permitted,Full Service Restaurant,Risk Category 2,2900,Arlington,VA,7/16/2018 12:00:00 AM,Priority Foundation
054CCB031AC699F488257480005C2FF2,Williamsburg Deli,Permitted,Full Service Restaurant,Risk Category 2,2900,Arlington,VA,7/16/2018 12:00:00 AM,Priority
054CCB031AC699F488257480005C2FF2,Williamsburg Deli,Permitted,Full Service Restaurant,Risk Category 2,2900,Arlington,VA,8/18/2017 12:00:00 AM,Core
054CCB031AC699F488257480005C2FF2,Williamsburg Deli,Permitted,Full Service Restaurant,Risk Category 2,2900,Arlington,VA,9/9/2016 12:00:00 AM,Core
054CCB031AC699F488257480005C2FF2,Williamsburg Deli,Permitted,Full Service Restaurant,Risk Category 2,2900,Arlington,VA,9/9/2016 12:00:00 AM,Priority Foundation
056D9877B1CD9F2185257BE8005ABA09,Panera Bread # 1685,Permitted,Fast Food Restaurant/Caterer,Risk Category 2,1700,Arlington,VA,9/13/2016 12:00:00 AM,Core
056D9877B1CD9F2185257BE8005ABA09,Panera Bread # 1685,Permitted,Fast Food Restaurant/Caterer,Risk Category 2,1700,Arlington,VA,8/27/2018 12:00:00 AM,Core
